Destination,Date,Rolling Week Avg,Rolling Week Total
Perth,10/03/2021,93087.57142857143,651613
Perth,11/01/2021,89959.71428571429,629718
Perth,11/02/2021,107830.28571428571,754812
Perth,11/03/2021,98413.0,688891
Perth,12/01/2021,90146.14285714286,631023
Perth,12/02/2021,99174.71428571429,694223
Perth,12/03/2021,108906.57142857143,762346
Perth,13/01/2021,98592.42857142857,690147
Perth,13/02/2021,102380.57142857143,716664
Perth,13/03/2021,115747.0,810229
Perth,14/01/2021,106718.85714285714,747032
Perth,14/02/2021,96870.42857142857,678093
Perth,14/03/2021,113777.57142857143,796443
Perth,15/01/2021,106131.85714285714,742923
Perth,15/02/2021,102037.14285714286,714260
Perth,15/03/2021,110608.42857142857,774259
Perth,16/01/2021,113722.71428571429,796059
Perth,16/02/2021,99006.0,693042
Perth,16/03/2021,109696.57142857143,767876
Perth,17/01/2021,112111.71428571429,784782
Perth,17/02/2021,99049.57142857143,693347
Perth,17/03/2021,113998.28571428571,797988
Perth,18/01/2021,110305.0,772135
Perth,18/02/2021,105941.85714285714,741593
Perth,18/03/2021,105232.85714285714,736630
Perth,19/01/2021,102357.85714285714,716505
Perth,19/02/2021,102599.71428571429,718198
Perth,19/03/2021,99109.57142857143,693767
Perth,20/01/2021,94406.85714285714,660848
Perth,20/02/2021,93885.57142857143,657199
Perth,20/03/2021,89889.42857142857,629226
Perth,21/01/2021,85412.85714285714,597890
Perth,21/02/2021,91442.57142857143,640098
Perth,21/03/2021,86938.14285714286,608567
Perth,22/01/2021,84210.14285714286,589471
Perth,22/02/2021,88135.28571428571,616947
Perth,22/03/2021,93030.57142857143,651214
Perth,23/01/2021,86172.42857142857,603207
Perth,23/02/2021,97456.28571428571,682194
Perth,23/03/2021,93621.57142857143,655351
Perth,24/01/2021,89161.57142857143,624131
Perth,24/02/2021,95171.28571428571,666199
Perth,24/03/2021,97477.28571428571,682341
Perth,25/01/2021,99480.57142857143,696364
Perth,25/02/2021,94389.85714285714,660729
Perth,25/03/2021,102665.28571428571,718657
Perth,26/01/2021,100496.14285714286,703473
Perth,26/02/2021,99178.85714285714,694252
Perth,26/03/2021,100450.14285714286,703151
Perth,27/01/2021,97143.57142857143,680005
Perth,27/02/2021,111077.28571428571,777541
Perth,27/03/2021,100556.42857142857,703895
Perth,28/01/2021,102421.0,716947
Perth,28/02/2021,116719.57142857143,817037
Perth,28/03/2021,102836.42857142857,719855
Perth,29/01/2021,107630.71428571429,753415
Perth,29/03/2021,82133.28571428571,574933
Perth,30/01/2021,105303.42857142857,737124
Perth,30/03/2021,70631.57142857143,494421
Perth,31/01/2021,103311.85714285714,723183
Perth,31/03/2021,53798.857142857145,376592
