Season,Outcome,Special Circumstances,League,P,W,D,L,F,A,Pts,POS
1931-32,Same League,,FL-3S,42.0,21.0,11.0,10.0,77.0,53.0,53.0,3/22
1932-33,Same League,,FL-3S,42.0,15.0,11.0,16.0,65.0,82.0,41.0,13/22
1933-34,Same League,,FL-3S,42.0,12.0,10.0,20.0,51.0,74.0,34.0,16/22
1934-35,Same League,,FL-3S,42.0,11.0,9.0,22.0,65.0,78.0,31.0,21/22
1935-36,Same League,,FL-3S,42.0,13.0,10.0,19.0,61.0,62.0,36.0,18/22
1936-37,Same League,,FL-3S,42.0,17.0,11.0,14.0,78.0,67.0,45.0,10/22
1937-38,Same League,,FL-3S,42.0,15.0,10.0,17.0,70.0,68.0,40.0,12/22
1938-39,Same League,,FL-3S,42.0,16.0,9.0,17.0,61.0,64.0,41.0,12/22
1939-40,Same League,Abandoned due to WW2,FL-3S,3.0,1.0,1.0,1.0,3.0,3.0,3.0,
1940-41,,WW2,,,,,,,,,
1941-42,,WW2,,,,,,,,,
1942-43,,WW2,,,,,,,,,
1943-44,,WW2,,,,,,,,,
1944-45,,WW2,,,,,,,,,
1945-46,,WW2,,,,,,,,,
1946-47,Same League,,FL-3S,42.0,17.0,10.0,15.0,71.0,60.0,44.0,8/22
1947-48,Same League,,FL-3S,42.0,15.0,13.0,14.0,51.0,58.0,43.0,9/22
1948-49,Same League,,FL-3S,42.0,9.0,16.0,17.0,41.0,46.0,34.0,18/22
1949-50,Same League,,FL-3S,42.0,19.0,13.0,10.0,66.0,48.0,51.0,3/22
1950-51,Same League,,FL-3S,46.0,21.0,10.0,15.0,92.0,69.0,52.0,7/24
1951-52,Same League,,FL-3S,46.0,19.0,10.0,17.0,75.0,66.0,48.0,9/24
1952-53,Same League,,FL-3S,46.0,18.0,13.0,15.0,69.0,74.0,49.0,8/24
1953-54,Same League,,FL-3S,46.0,18.0,7.0,21.0,69.0,71.0,43.0,16/24
1954-55,Same League,,FL-3S,46.0,17.0,12.0,17.0,83.0,80.0,46.0,10/24
1955-56,Same League,,FL-3S,46.0,21.0,11.0,14.0,88.0,80.0,53.0,4/24
1956-57,Same League,,FL-3S,46.0,18.0,12.0,16.0,73.0,65.0,48.0,7/24
1957-58,Same League,,FL-3S,46.0,21.0,12.0,13.0,90.0,58.0,54.0,7/24
1958-59,Same League,,FL-3,46.0,21.0,8.0,17.0,85.0,80.0,50.0,8/24
1959-60,Same League,,FL-3,46.0,19.0,8.0,19.0,76.0,74.0,46.0,12/24
1960-61,Same League,,FL-3,46.0,14.0,11.0,21.0,60.0,76.0,39.0,20/24
1961-62,Same League,,FL-3,46.0,13.0,16.0,17.0,57.0,69.0,42.0,16/24
1962-63,Same League,,FL-3,46.0,19.0,12.0,15.0,75.0,77.0,50.0,8/24
1963-64,Same League,,FL-3,46.0,15.0,15.0,16.0,77.0,78.0,45.0,14/24
1964-65,Same League,,FL-3,46.0,19.0,8.0,19.0,78.0,71.0,46.0,12/24
1965-66,Promoted,,FL-3,46.0,16.0,4.0,26.0,54.0,83.0,36.0,21/24
1966-67,Same League,,FL-4,46.0,22.0,9.0,15.0,70.0,49.0,53.0,6/24
1967-68,Same League,,FL-4,46.0,20.0,14.0,12.0,77.0,58.0,54.0,6/24
1968-69,Same League,,FL-4,46.0,19.0,13.0,14.0,78.0,61.0,51.0,7/24
1969-70,Same League,,FL-4,46.0,15.0,10.0,21.0,59.0,85.0,40.0,17/24
1970-71,Same League,,FL-4,46.0,14.0,15.0,17.0,53.0,66.0,43.0,18/24
1971-72,Relegated,,FL-4,46.0,24.0,12.0,10.0,81.0,55.0,60.0,2/24
1972-73,Same League,,FL-3,46.0,17.0,10.0,19.0,61.0,54.0,44.0,14/24
1973-74,Same League,,FL-3,46.0,16.0,14.0,16.0,62.0,62.0,46.0,12/24
1974-75,Same League,,FL-3,46.0,13.0,16.0,17.0,46.0,51.0,42.0,18/24
1975-76,Promoted,,FL-3,46.0,12.0,13.0,21.0,65.0,75.0,37.0,23/24
1976-77,Same League,,FL-4,46.0,15.0,19.0,12.0,52.0,45.0,49.0,10/24
1977-78,Relegated,,FL-4,46.0,25.0,10.0,11.0,66.0,39.0,60.0,2/24
1978-79,Same League,,FL-3,46.0,15.0,15.0,16.0,51.0,49.0,45.0,13/24
1979-80,Promoted,,FL-3,46.0,14.0,10.0,22.0,47.0,58.0,38.0,22/24
1980-81,Relegated,,FL-4,46.0,30.0,7.0,9.0,79.0,31.0,67.0,1/24
1981-82,Same League,,FL-3,46.0,18.0,15.0,13.0,63.0,51.0,69.0,7/24
1982-83,Same League,,FL-3,46.0,15.0,14.0,17.0,66.0,65.0,59.0,15/24
1983-84,Promoted,,FL-3,46.0,10.0,14.0,22.0,55.0,76.0,44.0,22/24
1984-85,Same League,,FL-4,46.0,13.0,11.0,22.0,58.0,83.0,50.0,20/24
1985-86,Same League,,FL-4,46.0,18.0,10.0,18.0,69.0,67.0,64.0,9/24
1986-87,Relegated,,FL-4,46.0,25.0,5.0,16.0,68.0,55.0,80.0,3/24
1987-88,Same League,,FL-3,46.0,14.0,13.0,19.0,65.0,83.0,55.0,17/24
1988-89,Promoted,,FL-3,46.0,13.0,15.0,18.0,56.0,75.0,54.0,21/24
1989-90,Relegated,,FL-4,46.0,22.0,9.0,15.0,61.0,48.0,75.0,3/24
1990-91,Relegated,,FL-3,46.0,26.0,7.0,13.0,67.0,51.0,85.0,2/24
1991-92,Relegated,,FL-2,46.0,17.0,11.0,18.0,63.0,63.0,62.0,12/24
1992-93,Same League,,FL-1,46.0,13.0,13.0,20.0,54.0,64.0,52.0,18/24
1993-94,Same League,,FL-1,46.0,17.0,8.0,21.0,63.0,67.0,59.0,15/24
1994-95,Same League,,FL-1,46.0,18.0,8.0,20.0,54.0,73.0,62.0,13/24
1995-96,Same League,,FL-1,46.0,15.0,14.0,17.0,52.0,61.0,59.0,14/24
1996-97,Promoted,,FL-1,46.0,8.0,15.0,23.0,42.0,86.0,39.0,24/24
1997-98,Promoted,,FL-2,46.0,11.0,10.0,25.0,47.0,79.0,43.0,24/24
1998-99,Same League,,FL-3,46.0,14.0,12.0,20.0,52.0,58.0,54.0,18/24
1999-00,Same League,,FL-3,46.0,15.0,11.0,20.0,53.0,61.0,56.0,16/24
2000-01,Same League,,FL-3,46.0,15.0,18.0,13.0,55.0,53.0,63.0,11/24
2001-02,Same League,,FL-3,46.0,15.0,13.0,18.0,51.0,54.0,58.0,12/24
2002-03,Same League,,FL-3,46.0,17.0,3.0,26.0,47.0,59.0,54.0,17/24
2003-04,Relegated,,FL-3,46.0,14.0,12.0,20.0,51.0,63.0,54.0,17/24
2004-05,Relegated,,FL-2,46.0,22.0,12.0,12.0,65.0,46.0,78.0,4/24
2005-06,Relegated,,FL-1,46.0,23.0,13.0,10.0,72.0,43.0,82.0,1/24
2006-07,Promoted,,FL-CH,46.0,10.0,12.0,24.0,47.0,80.0,42.0,22/24
2007-08,Same League,,FL-1,46.0,22.0,10.0,14.0,70.0,55.0,76.0,6/24
2008-09,Same League,,FL-1,46.0,21.0,8.0,17.0,58.0,61.0,71.0,8/24
2009-10,Promoted,,FL-1,46.0,10.0,13.0,23.0,51.0,72.0,43.0,23/24
2010-11,Same League,,FL-2,46.0,16.0,13.0,17.0,62.0,56.0,61.0,13/24
2011-12,Same League,,FL-2,46.0,25.0,8.0,13.0,77.0,48.0,83.0,4/24
2012-13,Same League,,FL-2,46.0,16.0,13.0,17.0,61.0,55.0,61.0,11/24
2013-14,Same League,,FL-2,46.0,19.0,15.0,12.0,56.0,39.0,72.0,5/24
2014-15,Relegated,,FL-2,46.0,24.0,12.0,10.0,54.0,38.0,84.0,5/24
2015-16,Same League,,FL-1,46.0,16.0,11.0,19.0,58.0,64.0,59.0,14/24
2016-17,Same League,,EFL-1,46.0,20.0,12.0,14.0,70.0,53.0,72.0,7/24
2017-18,Same League,,EFL-1,46.0,17.0,12.0,17.0,58.0,62.0,63.0,10/24
2018-19,Same League,,EFL-1,46.0,14.0,8.0,24.0,55.0,68.0,50.0,19/24
2019-20,Promoted,,EFL-1,35.0,4.0,7.0,24.0,39.0,85.0,19.0,22/23
2020-21,Promoted,,EFL-2,46.0,10.0,15.0,21.0,29.0,58.0,45.0,23/24
2021-22,,Incomplete,NAT-P,,,,,,,,
