ID,Joining Date,Account Type,Date of Birth,Ethnicity
302454,2023-06-19,Platinum,2018-07-25,Asian
302917,2023-04-24,Gold,1955-05-03,Other
303669,2023-02-18,Basic,2016-01-03,Black
304982,2023-06-25,Platinum,1979-04-08,Other
305736,2023-12-16,Basic,1978-08-15,Asian
305931,2023-02-09,Platinum,2011-10-01,Other
306044,2023-07-28,Platinum,1993-05-13,Asian
306487,2023-01-14,Basic,1970-06-26,Black
306535,2023-07-13,Basic,1977-12-23,Asian
306981,2023-12-07,Basic,1983-01-27,Other
307727,2023-09-20,Basic,1972-01-06,Other
307769,2023-02-16,Gold,1981-07-26,White
311054,2023-11-26,Gold,1956-11-21,Black
311336,2023-06-22,Platinum,2018-11-12,Black
311919,2023-01-04,Gold,1961-06-26,Other
312324,2023-08-28,Gold,2016-08-13,White
312371,2023-03-17,Gold,2019-06-28,Asian
312962,2023-11-01,Gold,1978-07-12,White
313159,2023-02-27,Platinum,2008-09-23,White
314042,2023-01-05,Platinum,1986-12-26,Asian
314233,2023-09-09,Platinum,2018-12-16,Asian
314848,2023-12-14,Gold,2015-11-30,Asian
314876,2023-09-29,Basic,2013-02-13,Asian
314997,2023-06-23,Gold,2001-07-31,Other
315439,2023-02-09,Basic,1999-05-23,White
316468,2023-07-23,Gold,1963-09-22,Asian
316875,2023-03-31,Basic,1992-03-07,Other
319191,2023-05-07,Platinum,2010-12-16,Other
319351,2023-09-01,Gold,1961-08-11,Black
319379,2023-09-15,Gold,1974-05-06,Other
322646,2023-02-27,Basic,1956-02-24,Asian
325644,2023-06-24,Basic,1995-03-20,White
325886,2023-09-14,Gold,1941-05-19,Asian
326497,2023-10-11,Basic,2013-04-24,Black
327751,2023-04-27,Platinum,1984-04-26,Asian
332370,2023-08-21,Basic,2002-10-26,White
333873,2023-08-16,Platinum,1994-08-31,Black
334199,2023-12-05,Gold,2003-05-11,White
335173,2023-11-11,Gold,1942-01-28,White
336329,2023-06-28,Platinum,1947-01-23,White
336949,2023-02-27,Platinum,1976-12-20,White
338686,2023-06-25,Gold,1979-12-17,White
339084,2023-06-27,Platinum,1963-10-06,Asian
339282,2023-09-16,Basic,1968-10-31,Other
339687,2023-04-09,Basic,1946-11-29,White
340036,2023-08-25,Gold,1952-10-16,Other
340059,2023-04-06,Basic,2004-01-24,White
341542,2023-10-03,Gold,1984-12-26,Black
343327,2023-12-05,Gold,1949-06-12,Asian
343987,2023-06-25,Gold,2010-07-31,Other
344685,2023-03-10,Gold,1990-01-06,Asian
344841,2023-07-30,Basic,2002-12-09,White
345349,2023-06-26,Basic,2013-02-22,Black
345518,2023-11-23,Platinum,1994-12-22,Black
346957,2023-10-14,Platinum,1990-12-29,Asian
347274,2023-04-09,Basic,1993-06-17,Black
349244,2023-06-03,Basic,2007-01-18,Asian
349505,2023-01-03,Basic,1961-09-13,White
350315,2023-08-31,Gold,2014-04-11,Black
350952,2023-09-10,Basic,1997-05-14,Black
352431,2023-10-31,Basic,1970-12-02,Asian
352584,2023-05-16,Basic,2000-06-13,Black
353144,2023-12-19,Gold,2019-12-08,Other
354147,2023-12-20,Gold,2019-04-14,Black
356495,2023-09-20,Platinum,1981-02-02,White
366023,2023-05-02,Basic,1986-01-01,Asian
366251,2023-05-22,Gold,1963-08-28,Other
366334,2023-02-05,Platinum,1996-10-15,Other
367467,2023-04-30,Platinum,2019-01-24,Asian
367979,2023-05-18,Basic,1983-09-15,Black
368497,2023-09-28,Basic,1991-07-29,Other
369221,2023-01-18,Platinum,2019-03-04,Black
369873,2023-06-10,Gold,1972-09-08,Black
371271,2023-10-25,Basic,2001-08-28,Other
371550,2023-02-02,Basic,2004-08-20,Black
372488,2023-04-20,Basic,1974-07-13,Other
373223,2023-03-29,Basic,1985-11-12,Asian
374944,2023-08-25,Basic,1965-03-20,Black
375824,2023-02-10,Platinum,1978-07-05,Other
375840,2023-09-17,Gold,1963-03-08,Asian
376499,2023-12-06,Platinum,1969-01-27,Asian
378506,2023-08-26,Basic,1968-07-08,Other
381217,2023-04-28,Basic,1962-08-05,White
381269,2023-11-01,Gold,1983-07-15,Black
382180,2023-09-16,Platinum,1975-12-14,Other
382490,2023-04-28,Gold,1997-11-06,Other
383716,2023-09-27,Platinum,2000-06-22,Asian
385445,2023-04-19,Basic,1957-01-29,Black
385540,2023-09-30,Gold,1943-02-01,White
385704,2023-04-24,Basic,1987-01-01,White
388013,2023-10-27,Gold,2018-07-13,Black
390727,2023-11-04,Basic,1972-10-09,Asian
391064,2023-09-23,Gold,1959-09-07,Other
393185,2023-03-05,Gold,1967-08-11,Black
394262,2023-04-06,Basic,1961-08-29,Other
397269,2023-05-03,Platinum,2001-06-08,Other
397552,2023-06-11,Gold,1941-10-31,Other
398707,2023-08-22,Gold,2012-05-03,Black
399130,2023-02-28,Basic,1958-07-04,Asian
401721,2023-10-08,Platinum,1955-12-15,Other
402150,2023-04-19,Platinum,1970-10-14,Other
402835,2023-08-27,Platinum,1941-05-25,Other
405774,2023-10-05,Gold,1993-08-11,Asian
405909,2023-04-13,Platinum,1979-08-27,Asian
410607,2023-11-03,Gold,1958-03-08,Asian
413196,2023-03-04,Platinum,1974-10-01,White
414182,2023-08-30,Gold,1973-01-24,White
415677,2023-03-11,Basic,2008-03-31,Black
415762,2023-10-20,Basic,1949-11-03,Black
415942,2023-07-22,Basic,1947-09-16,Asian
418614,2023-02-22,Gold,2013-11-17,White
419675,2023-07-27,Gold,1965-06-19,Black
421873,2023-04-13,Gold,1969-05-08,Other
421991,2023-12-17,Gold,1942-09-09,Other
422091,2023-08-20,Gold,2001-03-09,Asian
423343,2023-10-27,Basic,1947-07-25,White
423637,2023-10-30,Basic,1941-01-30,Other
424911,2023-07-16,Platinum,1947-03-21,Asian
425443,2023-08-04,Platinum,1977-07-17,Black
426503,2023-02-26,Platinum,2009-09-03,Other
426552,2023-05-24,Gold,1995-09-13,White
427577,2023-01-10,Basic,1971-01-06,Asian
428393,2023-07-14,Basic,2008-05-12,Black
428406,2023-09-02,Basic,1972-08-08,Asian
428431,2023-12-09,Basic,1993-04-27,Other
429112,2023-02-08,Basic,1993-11-20,Black
429752,2023-03-02,Platinum,1945-11-15,Asian
430823,2023-02-27,Gold,1986-11-22,White
430898,2023-06-11,Basic,1947-05-04,Other
431328,2023-04-27,Platinum,1970-05-30,Black
431391,2023-02-02,Basic,1980-04-25,Other
433632,2023-05-01,Platinum,1992-09-27,White
435013,2023-10-18,Basic,1998-09-01,Black
435115,2023-08-26,Basic,2012-02-07,Other
435231,2023-02-11,Gold,2012-01-02,Black
436308,2023-06-24,Basic,1959-10-03,White
436544,2023-02-11,Basic,2013-04-10,Black
439709,2023-10-05,Basic,2009-08-21,Other
440691,2023-02-16,Basic,2013-07-02,White
441581,2023-12-01,Gold,2018-07-06,White
442375,2023-09-16,Platinum,1985-06-15,White
442783,2023-05-15,Gold,2007-12-18,Asian
444025,2023-05-28,Platinum,1997-04-08,Black
445531,2023-03-25,Gold,1963-11-01,Black
445532,2023-09-13,Basic,1972-10-08,Black
446540,2023-03-28,Basic,1950-07-22,Other
448076,2023-02-20,Platinum,1995-10-07,White
450210,2023-11-24,Basic,2018-08-24,Other
451214,2023-04-04,Platinum,1992-04-13,White
451570,2023-09-04,Gold,1974-04-21,Other
451936,2023-06-10,Basic,1958-10-22,Asian
458285,2023-03-27,Basic,2018-12-20,Other
458440,2023-06-04,Gold,1989-07-21,White
458824,2023-04-19,Basic,1967-08-03,Asian
459470,2023-05-10,Platinum,1987-09-13,Black
459563,2023-06-06,Gold,1963-03-15,Black
460383,2023-06-29,Basic,1994-08-16,Black
460507,2023-04-28,Platinum,1945-10-28,White
461508,2023-12-02,Gold,1996-07-12,Other
465564,2023-08-26,Platinum,2015-08-12,Asian
465769,2023-07-14,Platinum,1979-02-10,White
466462,2023-06-19,Platinum,1942-05-08,Black
466664,2023-07-16,Basic,1981-05-14,Asian
466954,2023-06-17,Basic,1955-03-05,Black
467340,2023-06-19,Platinum,1984-09-04,White
467374,2023-04-24,Gold,2006-01-03,Black
467421,2023-06-02,Basic,1975-04-12,Asian
467914,2023-01-25,Gold,1990-02-25,Asian
471152,2023-12-15,Platinum,1990-09-29,Asian
471554,2023-01-02,Basic,1990-04-22,White
472221,2023-08-17,Platinum,1994-10-12,White
472457,2023-01-19,Gold,1991-01-30,Black
473692,2023-02-20,Basic,2012-03-23,White
478020,2023-02-27,Gold,1987-05-16,Black
478687,2023-04-05,Platinum,1999-05-13,White
478868,2023-08-15,Gold,1958-10-27,Other
480246,2023-12-08,Platinum,1982-04-13,Asian
481921,2023-07-19,Gold,1970-05-05,Asian
483606,2023-01-14,Platinum,1941-07-03,Other
484119,2023-04-08,Gold,1974-09-30,Other
485343,2023-08-14,Gold,1945-06-21,Other
485637,2023-10-09,Basic,2001-10-20,White
487923,2023-03-22,Platinum,1990-06-28,White
488622,2023-08-31,Gold,1945-02-19,Black
488809,2023-08-23,Platinum,2004-07-24,Black
488942,2023-05-03,Basic,1958-12-02,Other
489429,2023-07-01,Platinum,2007-11-16,Black
489883,2023-07-26,Basic,1972-11-21,Asian
490418,2023-05-02,Basic,1950-09-29,White
490910,2023-01-03,Basic,1981-05-23,White
491387,2023-10-28,Platinum,2001-11-04,Asian
491519,2023-01-10,Gold,1955-04-04,Asian
492316,2023-06-13,Platinum,1964-05-28,Other
494788,2023-11-11,Gold,1968-05-05,Black
494925,2023-10-17,Platinum,1957-11-29,Asian
494955,2023-07-17,Platinum,1985-07-02,Other
496679,2023-06-08,Basic,1951-10-19,Black
497082,2023-05-08,Platinum,1969-01-03,Other
497542,2023-08-22,Gold,2005-05-19,White
497693,2023-09-19,Platinum,1970-03-14,Other
499108,2023-04-11,Platinum,1949-11-21,White
499227,2023-08-03,Gold,1978-09-12,Other
499282,2023-03-18,Platinum,2019-06-14,Other
500741,2023-03-23,Basic,1955-12-26,Other
500890,2023-05-12,Basic,1958-10-15,White
501352,2023-12-22,Basic,1971-06-29,Black
503279,2023-10-17,Gold,1967-04-13,White
503844,2023-06-25,Basic,1981-10-02,Asian
504043,2023-11-05,Basic,1986-04-01,Asian
506007,2023-03-23,Basic,1979-12-01,Asian
506688,2023-04-29,Gold,2015-09-29,Asian
507932,2023-10-29,Platinum,2005-08-15,Asian
509391,2023-05-27,Platinum,1947-11-06,Other
510071,2023-06-13,Platinum,1992-10-10,Other
511264,2023-10-27,Platinum,1957-07-07,Other
511565,2023-12-07,Platinum,1995-03-17,Black
512023,2023-11-16,Gold,1957-04-05,Black
512194,2023-03-13,Gold,1985-04-09,White
512357,2023-09-25,Basic,2009-11-19,White
512509,2023-05-22,Gold,1991-04-16,White
513032,2023-03-26,Basic,1973-01-12,White
514214,2023-05-09,Platinum,1941-07-09,Other
514489,2023-07-10,Basic,2005-05-03,Black
514598,2023-12-28,Platinum,1971-10-10,Other
514864,2023-04-24,Platinum,1965-02-19,Other
516450,2023-07-17,Gold,1986-01-12,Black
520059,2023-05-02,Gold,1942-01-26,Asian
521080,2023-12-27,Platinum,1999-04-26,Black
522270,2023-05-01,Basic,1940-11-21,Black
523380,2023-02-21,Platinum,1994-12-23,Asian
525493,2023-05-21,Platinum,1976-03-28,Other
527503,2023-08-15,Gold,1967-01-08,White
527712,2023-01-02,Platinum,1996-09-27,White
527900,2023-03-20,Gold,1952-10-11,Black
528074,2023-09-13,Gold,2013-05-26,Other
528281,2023-02-22,Basic,2009-12-22,Black
528483,2023-04-26,Platinum,2010-05-03,Black
528606,2023-03-13,Basic,2014-12-03,Other
530288,2023-04-04,Platinum,1966-08-24,Black
531040,2023-11-03,Gold,1978-07-17,White
533119,2023-02-17,Platinum,1960-01-25,White
534142,2023-08-26,Gold,1954-11-09,Black
534626,2023-09-05,Platinum,1944-06-25,White
535172,2023-02-18,Basic,1964-12-23,Asian
535509,2023-03-10,Platinum,2019-09-11,Other
536823,2023-12-11,Gold,1985-06-17,Black
537959,2023-12-12,Gold,2017-10-23,Black
539530,2023-06-20,Basic,1983-03-02,Other
540772,2023-10-01,Gold,1957-05-15,Black
541236,2023-09-12,Gold,1964-04-13,White
543527,2023-10-12,Gold,2013-02-23,Other
543545,2023-01-08,Basic,1986-08-30,Asian
543731,2023-07-25,Gold,1989-05-18,Asian
546446,2023-09-23,Basic,1973-03-31,White
546645,2023-05-24,Gold,1971-09-06,Asian
547679,2023-01-11,Basic,1949-02-07,White
548577,2023-01-23,Basic,1962-05-09,White
548663,2023-12-04,Basic,1949-05-31,Asian
548861,2023-03-24,Platinum,1962-05-03,Other
549243,2023-05-01,Gold,1947-06-07,Black
549280,2023-06-30,Platinum,1971-12-03,Black
549509,2023-04-02,Gold,1970-04-13,White
549892,2023-08-30,Gold,1959-07-05,Asian
551306,2023-10-03,Gold,2008-02-06,White
552566,2023-04-28,Gold,1950-02-04,White
553320,2023-04-13,Gold,1952-03-19,Asian
554004,2023-01-27,Gold,1997-07-20,Asian
554998,2023-12-16,Platinum,1997-11-06,Black
557275,2023-08-09,Platinum,1999-09-09,Other
559179,2023-10-22,Basic,1979-02-18,Other
560261,2023-12-15,Platinum,1949-03-04,Black
560440,2023-06-24,Basic,1979-05-30,Asian
560790,2023-06-01,Basic,2006-05-25,Other
561709,2023-06-30,Basic,1959-11-23,Asian
562722,2023-10-25,Platinum,2007-08-09,Asian
563716,2023-07-11,Platinum,1989-02-03,Asian
564633,2023-06-20,Gold,2011-06-01,Black
567696,2023-09-09,Gold,1943-09-17,Black
568991,2023-01-16,Gold,1979-04-27,White
569494,2023-09-01,Gold,1976-08-30,Black
569694,2023-05-24,Platinum,2018-11-07,Black
569706,2023-03-18,Gold,2014-05-16,Asian
569923,2023-12-04,Gold,1975-12-30,Other
569939,2023-06-15,Gold,2015-12-11,Black
571041,2023-06-07,Basic,1947-04-16,Other
571428,2023-03-08,Platinum,1965-06-23,Black
572462,2023-07-29,Platinum,1965-05-29,Black
575378,2023-11-24,Platinum,1974-04-07,White
577581,2023-10-22,Platinum,1960-06-22,White
580145,2023-01-13,Basic,2015-11-14,Asian
582245,2023-02-20,Platinum,2012-02-17,Other
582577,2023-03-11,Gold,1999-01-24,Black
583851,2023-02-16,Gold,2006-02-26,Other
586258,2023-05-30,Platinum,2018-12-12,Black
587714,2023-12-01,Gold,1952-10-02,White
588390,2023-03-16,Basic,1950-03-22,Black
589251,2023-04-03,Platinum,1943-06-01,White
589567,2023-06-17,Platinum,1961-05-10,Black
591154,2023-01-23,Basic,2002-12-01,Black
591539,2023-07-26,Basic,1986-11-07,White
592566,2023-12-30,Basic,1989-05-08,Asian
593067,2023-08-20,Gold,2019-10-01,Black
593905,2023-10-27,Basic,1961-12-05,Black
593940,2023-07-16,Gold,1981-03-18,Black
594256,2023-12-25,Gold,1989-03-06,Other
594866,2023-04-07,Gold,2004-08-19,White
595254,2023-11-06,Platinum,1942-05-06,Other
595739,2023-04-09,Platinum,1997-06-18,White
596558,2023-01-17,Gold,1951-03-22,Black
596604,2023-01-17,Gold,2000-04-29,Asian
597131,2023-05-24,Gold,1954-05-17,White
597729,2023-07-08,Basic,1958-02-07,Other
598787,2023-02-01,Basic,1962-09-11,Other
598899,2023-09-19,Basic,1999-01-10,Black
601428,2023-06-29,Platinum,1980-12-23,White
601677,2023-11-05,Basic,1964-01-09,Other
602470,2023-12-22,Gold,2018-07-12,Black
602662,2023-01-09,Basic,1958-03-07,Other
603071,2023-06-25,Basic,1969-05-07,Other
604078,2023-08-02,Basic,1997-09-18,Asian
604416,2023-04-24,Gold,2004-06-29,Other
604893,2023-01-04,Platinum,1959-11-10,White
606785,2023-03-16,Basic,1968-08-11,White
606864,2023-02-08,Platinum,1945-10-05,Other
607350,2023-12-22,Gold,1972-05-12,Other
609432,2023-04-13,Platinum,2009-05-28,Other
610159,2023-05-09,Gold,2005-12-05,Black
610368,2023-08-22,Basic,1965-07-15,Other
610633,2023-06-08,Gold,1993-07-13,Black
611755,2023-09-28,Platinum,1949-02-11,Other
611859,2023-01-18,Platinum,1977-12-02,Other
612794,2023-01-29,Basic,1981-11-12,Asian
614858,2023-04-10,Basic,1977-03-24,Other
615502,2023-09-12,Basic,1973-10-01,Asian
618265,2023-03-03,Basic,1945-05-31,Black
618456,2023-08-06,Basic,2009-03-13,Asian
618817,2023-12-30,Gold,1950-12-22,Asian
619806,2023-07-17,Platinum,1974-02-11,Asian
620952,2023-08-30,Platinum,1979-09-05,White
621479,2023-03-22,Basic,1968-01-12,White
621556,2023-06-18,Basic,2010-12-12,White
624601,2023-02-18,Gold,1991-04-20,Other
625189,2023-10-24,Gold,1985-07-19,Other
625210,2023-09-30,Gold,1995-12-23,Other
626975,2023-01-27,Basic,1948-10-04,Black
627428,2023-02-01,Platinum,2018-11-05,White
628443,2023-04-29,Platinum,1970-06-22,Other
628497,2023-06-21,Platinum,2005-10-26,Asian
630270,2023-08-23,Platinum,1964-01-26,Other
