Salesperson,Date,Bike Type,Sales,YTD Total
Tom,2021-10-21,Road,66.0,74377.0
Tom,2021-10-22,Road,37.0,74377.0
Tom,2021-10-23,Road,100.0,74377.0
Tom,2021-10-24,Road,74.0,74377.0
Tom,2021-10-25,Road,92.0,74377.0
Tom,2021-10-26,Road,96.0,74377.0
Tom,2021-10-27,Road,95.0,74377.0
Tom,2021-10-28,Road,73.0,74377.0
Tom,2021-10-29,Road,51.0,74377.0
Tom,2021-10-30,Road,29.0,74377.0
Tom,2021-10-31,Road,50.0,74377.0
Carl,2021-11-01,Road,31.0,5043.0
Carl,2021-11-02,Road,96.0,5043.0
Carl,2021-11-03,Road,43.0,5043.0
Carl,2021-11-04,Road,34.0,5043.0
Carl,2021-11-05,Road,89.0,5043.0
Carl,2021-11-06,Road,69.0,5043.0
Carl,2021-11-07,Road,99.0,5043.0
Carl,2021-11-08,Road,52.0,5043.0
Carl,2021-11-09,Road,44.0,5043.0
Carl,2021-11-10,Road,31.0,5043.0
Carl,2021-11-11,Road,66.0,5043.0
Carl,2021-11-12,Road,78.0,5043.0
Carl,2021-11-13,Road,21.0,5043.0
Carl,2021-11-14,Road,59.0,5043.0
Carl,2021-11-15,Road,76.0,5043.0
Carl,2021-11-16,Road,50.0,5043.0
Carl,2021-11-17,Road,73.0,5043.0
Carl,2021-11-18,Road,25.0,5043.0
Carl,2021-11-19,Road,69.0,5043.0
Carl,2021-11-20,Road,17.0,5043.0
Carl,2021-11-21,Road,53.0,5043.0
Carl,2021-11-22,Road,73.0,5043.0
Carl,2021-11-23,Road,23.0,5043.0
Carl,2021-11-24,Road,58.0,5043.0
Carl,2021-11-25,Road,44.0,5043.0
Carl,2021-11-26,Road,43.0,5043.0
Carl,2021-11-27,Road,72.0,5043.0
Carl,2021-11-28,Road,99.0,5043.0
Carl,2021-11-29,Road,37.0,5043.0
Carl,2021-11-30,Road,31.0,5043.0
Ollie,2021-11-01,Road,50.0,4678.0
Ollie,2021-11-02,Road,65.0,4678.0
Ollie,2021-11-03,Road,28.0,4678.0
Ollie,2021-11-04,Road,88.0,4678.0
Ollie,2021-11-05,Road,43.0,4678.0
Ollie,2021-11-06,Road,74.0,4678.0
Ollie,2021-11-07,Road,12.0,4678.0
Ollie,2021-11-08,Road,1.0,4678.0
Ollie,2021-11-09,Road,81.0,4678.0
Ollie,2021-11-10,Road,26.0,4678.0
Ollie,2021-11-11,Road,14.0,4678.0
Ollie,2021-11-12,Road,56.0,4678.0
Ollie,2021-11-13,Road,27.0,4678.0
Ollie,2021-11-14,Road,88.0,4678.0
Ollie,2021-11-15,Road,89.0,4678.0
Ollie,2021-11-16,Road,18.0,4678.0
Ollie,2021-11-17,Road,66.0,4678.0
Ollie,2021-11-18,Road,45.0,4678.0
Ollie,2021-11-19,Road,94.0,4678.0
Ollie,2021-11-20,Road,10.0,4678.0
Ollie,2021-11-21,Road,20.0,4678.0
Ollie,2021-11-22,Road,84.0,4678.0
Ollie,2021-11-23,Road,91.0,4678.0
Ollie,2021-11-24,Road,80.0,4678.0
Ollie,2021-11-25,Road,62.0,4678.0
Ollie,2021-11-26,Road,97.0,4678.0
Ollie,2021-11-27,Road,3.0,4678.0
Ollie,2021-11-28,Road,6.0,4678.0
Ollie,2021-11-29,Road,72.0,4678.0
Ollie,2021-11-30,Road,79.0,4678.0
Lorna,2021-11-01,Road,65.0,4409.0
Lorna,2021-11-02,Road,84.0,4409.0
Lorna,2021-11-03,Road,46.0,4409.0
Lorna,2021-11-04,Road,13.0,4409.0
Lorna,2021-11-05,Road,42.0,4409.0
Lorna,2021-11-06,Road,43.0,4409.0
Lorna,2021-11-07,Road,98.0,4409.0
Lorna,2021-11-08,Road,83.0,4409.0
Lorna,2021-11-09,Road,32.0,4409.0
Lorna,2021-11-10,Road,49.0,4409.0
Lorna,2021-11-11,Road,99.0,4409.0
Lorna,2021-11-12,Road,48.0,4409.0
Lorna,2021-11-13,Road,74.0,4409.0
Lorna,2021-11-14,Road,15.0,4409.0
Lorna,2021-11-15,Road,73.0,4409.0
Lorna,2021-11-16,Road,43.0,4409.0
Lorna,2021-11-17,Road,52.0,4409.0
Lorna,2021-11-18,Road,65.0,4409.0
Lorna,2021-11-19,Road,11.0,4409.0
Lorna,2021-11-20,Road,7.0,4409.0
Lorna,2021-11-21,Road,52.0,4409.0
Lorna,2021-11-22,Road,21.0,4409.0
Lorna,2021-11-23,Road,98.0,4409.0
Lorna,2021-11-24,Road,46.0,4409.0
Lorna,2021-11-25,Road,15.0,4409.0
Lorna,2021-11-26,Road,42.0,4409.0
Lorna,2021-11-27,Road,79.0,4409.0
Lorna,2021-11-28,Road,78.0,4409.0
Lorna,2021-11-29,Road,23.0,4409.0
Lorna,2021-11-30,Road,84.0,4409.0
Jenny,2021-11-01,Road,50.0,4132.0
Jenny,2021-11-02,Road,54.0,4132.0
Jenny,2021-11-03,Road,44.0,4132.0
Jenny,2021-11-04,Road,57.0,4132.0
Jenny,2021-11-05,Road,1.0,4132.0
Jenny,2021-11-06,Road,50.0,4132.0
Jenny,2021-11-07,Road,15.0,4132.0
Jenny,2021-11-08,Road,61.0,4132.0
Jenny,2021-11-09,Road,45.0,4132.0
Jenny,2021-11-10,Road,24.0,4132.0
Jenny,2021-11-11,Road,73.0,4132.0
Jenny,2021-11-12,Road,4.0,4132.0
Jenny,2021-11-13,Road,85.0,4132.0
Jenny,2021-11-14,Road,2.0,4132.0
Jenny,2021-11-15,Road,35.0,4132.0
Jenny,2021-11-16,Road,21.0,4132.0
Jenny,2021-11-17,Road,14.0,4132.0
Jenny,2021-11-18,Road,84.0,4132.0
Jenny,2021-11-19,Road,5.0,4132.0
Jenny,2021-11-20,Road,22.0,4132.0
Jenny,2021-11-21,Road,67.0,4132.0
Jenny,2021-11-22,Road,82.0,4132.0
Jenny,2021-11-23,Road,52.0,4132.0
Jenny,2021-11-24,Road,43.0,4132.0
Jenny,2021-11-25,Road,23.0,4132.0
Jenny,2021-11-26,Road,34.0,4132.0
Jenny,2021-11-27,Road,99.0,4132.0
Jenny,2021-11-28,Road,5.0,4132.0
Jenny,2021-11-29,Road,30.0,4132.0
Jenny,2021-11-30,Road,7.0,4132.0
Tom,2021-11-01,Road,2.0,4395.0
Tom,2021-11-02,Road,3.0,4395.0
Tom,2021-11-03,Road,30.0,4395.0
Tom,2021-11-04,Road,10.0,4395.0
Tom,2021-11-05,Road,12.0,4395.0
Tom,2021-11-06,Road,15.0,4395.0
Tom,2021-11-07,Road,64.0,4395.0
Tom,2021-11-08,Road,89.0,4395.0
Tom,2021-11-09,Road,37.0,4395.0
Tom,2021-11-10,Road,64.0,4395.0
Tom,2021-11-11,Road,35.0,4395.0
Tom,2021-11-12,Road,58.0,4395.0
Tom,2021-11-13,Road,8.0,4395.0
Tom,2021-11-14,Road,44.0,4395.0
Tom,2021-11-15,Road,62.0,4395.0
Tom,2021-11-16,Road,54.0,4395.0
Tom,2021-11-17,Road,100.0,4395.0
Tom,2021-11-18,Road,41.0,4395.0
Tom,2021-11-19,Road,21.0,4395.0
Tom,2021-11-20,Road,54.0,4395.0
Tom,2021-11-21,Road,16.0,4395.0
Tom,2021-11-22,Road,44.0,4395.0
Tom,2021-11-23,Road,25.0,4395.0
Tom,2021-11-24,Road,53.0,4395.0
Tom,2021-11-25,Road,77.0,4395.0
Tom,2021-11-26,Road,72.0,4395.0
Tom,2021-11-27,Road,67.0,4395.0
Tom,2021-11-28,Road,65.0,4395.0
Tom,2021-11-29,Road,96.0,4395.0
Tom,2021-11-30,Road,61.0,4395.0
Carl,2021-10-01,Gravel,21.0,32768.0
Carl,2021-10-02,Gravel,84.0,32768.0
Carl,2021-10-03,Gravel,26.0,32768.0
Carl,2021-10-04,Gravel,30.0,32768.0
Carl,2021-10-05,Gravel,39.0,32768.0
Carl,2021-10-06,Gravel,45.0,32768.0
Carl,2021-10-07,Gravel,2.0,32768.0
Carl,2021-10-08,Gravel,16.0,32768.0
Carl,2021-10-09,Gravel,52.0,32768.0
Carl,2021-10-10,Gravel,2.0,32768.0
Carl,2021-10-11,Gravel,76.0,32768.0
Carl,2021-10-12,Gravel,45.0,32768.0
Carl,2021-10-13,Gravel,67.0,32768.0
Carl,2021-10-14,Gravel,35.0,32768.0
Carl,2021-10-15,Gravel,82.0,32768.0
Carl,2021-10-16,Gravel,54.0,32768.0
Carl,2021-10-17,Gravel,66.0,32768.0
Carl,2021-10-18,Gravel,80.0,32768.0
Carl,2021-10-19,Gravel,81.0,32768.0
Carl,2021-10-20,Gravel,22.0,32768.0
Carl,2021-10-21,Gravel,60.0,32768.0
Carl,2021-10-22,Gravel,73.0,32768.0
Carl,2021-10-23,Gravel,67.0,32768.0
Carl,2021-10-24,Gravel,73.0,32768.0
Carl,2021-10-25,Gravel,77.0,32768.0
Carl,2021-10-26,Gravel,22.0,32768.0
Carl,2021-10-27,Gravel,41.0,32768.0
Carl,2021-10-28,Gravel,59.0,32768.0
Carl,2021-10-29,Gravel,36.0,32768.0
Carl,2021-10-30,Gravel,59.0,32768.0
Carl,2021-10-31,Gravel,42.0,32768.0
Ollie,2021-10-01,Gravel,24.0,45627.0
Ollie,2021-10-02,Gravel,3.0,45627.0
Ollie,2021-10-03,Gravel,22.0,45627.0
Ollie,2021-10-04,Gravel,21.0,45627.0
Ollie,2021-10-05,Gravel,89.0,45627.0
Ollie,2021-10-06,Gravel,73.0,45627.0
Ollie,2021-10-07,Gravel,21.0,45627.0
Ollie,2021-10-08,Gravel,82.0,45627.0
Ollie,2021-10-09,Gravel,79.0,45627.0
Ollie,2021-10-10,Gravel,48.0,45627.0
Ollie,2021-10-11,Gravel,13.0,45627.0
Ollie,2021-10-12,Gravel,79.0,45627.0
Ollie,2021-10-13,Gravel,41.0,45627.0
Ollie,2021-10-14,Gravel,44.0,45627.0
Ollie,2021-10-15,Gravel,22.0,45627.0
Ollie,2021-10-16,Gravel,25.0,45627.0
Ollie,2021-10-17,Gravel,40.0,45627.0
Ollie,2021-10-18,Gravel,68.0,45627.0
Ollie,2021-10-19,Gravel,59.0,45627.0
Ollie,2021-10-20,Gravel,54.0,45627.0
Ollie,2021-10-21,Gravel,71.0,45627.0
Ollie,2021-10-22,Gravel,84.0,45627.0
Ollie,2021-10-23,Gravel,41.0,45627.0
Ollie,2021-10-24,Gravel,74.0,45627.0
Ollie,2021-10-25,Gravel,27.0,45627.0
Ollie,2021-10-26,Gravel,12.0,45627.0
Ollie,2021-10-27,Gravel,60.0,45627.0
Ollie,2021-10-28,Gravel,37.0,45627.0
Ollie,2021-10-29,Gravel,9.0,45627.0
Ollie,2021-10-30,Gravel,52.0,45627.0
Ollie,2021-10-31,Gravel,18.0,45627.0
Lorna,2021-10-01,Gravel,9.0,64704.0
Lorna,2021-10-02,Gravel,54.0,64704.0
Lorna,2021-10-03,Gravel,57.0,64704.0
Lorna,2021-10-04,Gravel,48.0,64704.0
Lorna,2021-10-05,Gravel,70.0,64704.0
Lorna,2021-10-06,Gravel,90.0,64704.0
Lorna,2021-10-07,Gravel,78.0,64704.0
Lorna,2021-10-08,Gravel,96.0,64704.0
Lorna,2021-10-09,Gravel,52.0,64704.0
Lorna,2021-10-10,Gravel,64.0,64704.0
Lorna,2021-10-11,Gravel,96.0,64704.0
Lorna,2021-10-12,Gravel,65.0,64704.0
Lorna,2021-10-13,Gravel,24.0,64704.0
Lorna,2021-10-14,Gravel,55.0,64704.0
Lorna,2021-10-15,Gravel,77.0,64704.0
Lorna,2021-10-16,Gravel,74.0,64704.0
Lorna,2021-10-17,Gravel,83.0,64704.0
Lorna,2021-10-18,Gravel,35.0,64704.0
Lorna,2021-10-19,Gravel,51.0,64704.0
Lorna,2021-10-20,Gravel,35.0,64704.0
Lorna,2021-10-21,Gravel,73.0,64704.0
Lorna,2021-10-22,Gravel,30.0,64704.0
Lorna,2021-10-23,Gravel,14.0,64704.0
Lorna,2021-10-24,Gravel,1.0,64704.0
Lorna,2021-10-25,Gravel,80.0,64704.0
Lorna,2021-10-26,Gravel,36.0,64704.0
Lorna,2021-10-27,Gravel,11.0,64704.0
Lorna,2021-10-28,Gravel,9.0,64704.0
Lorna,2021-10-29,Gravel,1.0,64704.0
Lorna,2021-10-30,Gravel,52.0,64704.0
Lorna,2021-10-31,Gravel,8.0,64704.0
Jenny,2021-10-01,Gravel,25.0,20707.0
Jenny,2021-10-02,Gravel,60.0,20707.0
Jenny,2021-10-03,Gravel,57.0,20707.0
Jenny,2021-10-04,Gravel,76.0,20707.0
Jenny,2021-10-05,Gravel,72.0,20707.0
Jenny,2021-10-06,Gravel,79.0,20707.0
Jenny,2021-10-07,Gravel,94.0,20707.0
Jenny,2021-10-08,Gravel,49.0,20707.0
Jenny,2021-10-09,Gravel,5.0,20707.0
Jenny,2021-10-10,Gravel,11.0,20707.0
Jenny,2021-10-11,Gravel,88.0,20707.0
Jenny,2021-10-12,Gravel,4.0,20707.0
Jenny,2021-10-13,Gravel,50.0,20707.0
Jenny,2021-10-14,Gravel,11.0,20707.0
Jenny,2021-10-15,Gravel,84.0,20707.0
Jenny,2021-10-16,Gravel,57.0,20707.0
Jenny,2021-10-17,Gravel,24.0,20707.0
Jenny,2021-10-18,Gravel,83.0,20707.0
Jenny,2021-10-19,Gravel,100.0,20707.0
Jenny,2021-10-20,Gravel,41.0,20707.0
Jenny,2021-10-21,Gravel,4.0,20707.0
Jenny,2021-10-22,Gravel,12.0,20707.0
Jenny,2021-10-23,Gravel,33.0,20707.0
Jenny,2021-10-24,Gravel,47.0,20707.0
Jenny,2021-10-25,Gravel,21.0,20707.0
Jenny,2021-10-26,Gravel,100.0,20707.0
Jenny,2021-10-27,Gravel,18.0,20707.0
Jenny,2021-10-28,Gravel,25.0,20707.0
Jenny,2021-10-29,Gravel,85.0,20707.0
Jenny,2021-10-30,Gravel,42.0,20707.0
Jenny,2021-10-31,Gravel,0.0,20707.0
Tom,2021-10-01,Gravel,71.0,74377.0
Tom,2021-10-02,Gravel,41.0,74377.0
Tom,2021-10-03,Gravel,87.0,74377.0
Tom,2021-10-04,Gravel,4.0,74377.0
Tom,2021-10-05,Gravel,73.0,74377.0
Tom,2021-10-06,Gravel,58.0,74377.0
Tom,2021-10-07,Gravel,77.0,74377.0
Tom,2021-10-08,Gravel,64.0,74377.0
Tom,2021-10-09,Gravel,74.0,74377.0
Tom,2021-10-10,Gravel,63.0,74377.0
Tom,2021-10-11,Gravel,44.0,74377.0
Tom,2021-10-12,Gravel,96.0,74377.0
Tom,2021-10-13,Gravel,39.0,74377.0
Tom,2021-10-14,Gravel,69.0,74377.0
Tom,2021-10-15,Gravel,15.0,74377.0
Tom,2021-10-16,Gravel,87.0,74377.0
Tom,2021-10-17,Gravel,71.0,74377.0
Tom,2021-10-18,Gravel,33.0,74377.0
Tom,2021-10-19,Gravel,64.0,74377.0
Tom,2021-10-20,Gravel,25.0,74377.0
Tom,2021-10-21,Gravel,2.0,74377.0
Tom,2021-10-22,Gravel,69.0,74377.0
Tom,2021-10-23,Gravel,74.0,74377.0
Tom,2021-10-24,Gravel,81.0,74377.0
Tom,2021-10-25,Gravel,53.0,74377.0
Tom,2021-10-26,Gravel,48.0,74377.0
Tom,2021-10-27,Gravel,61.0,74377.0
Tom,2021-10-28,Gravel,40.0,74377.0
Tom,2021-10-29,Gravel,89.0,74377.0
Tom,2021-10-30,Gravel,58.0,74377.0
Tom,2021-10-31,Gravel,17.0,74377.0
Carl,2021-11-01,Gravel,66.0,5043.0
Carl,2021-11-02,Gravel,87.0,5043.0
Carl,2021-11-03,Gravel,65.0,5043.0
Carl,2021-11-04,Gravel,48.0,5043.0
Carl,2021-11-05,Gravel,17.0,5043.0
Carl,2021-11-06,Gravel,60.0,5043.0
Carl,2021-11-07,Gravel,46.0,5043.0
Carl,2021-11-08,Gravel,56.0,5043.0
Carl,2021-11-09,Gravel,92.0,5043.0
Carl,2021-11-10,Gravel,92.0,5043.0
Carl,2021-11-11,Gravel,34.0,5043.0
Carl,2021-11-12,Gravel,69.0,5043.0
Carl,2021-11-13,Gravel,57.0,5043.0
Carl,2021-11-14,Gravel,30.0,5043.0
Carl,2021-11-15,Gravel,83.0,5043.0
Carl,2021-11-16,Gravel,41.0,5043.0
Carl,2021-11-17,Gravel,91.0,5043.0
Carl,2021-11-18,Gravel,92.0,5043.0
Carl,2021-11-19,Gravel,77.0,5043.0
Carl,2021-11-20,Gravel,71.0,5043.0
Carl,2021-11-21,Gravel,11.0,5043.0
Carl,2021-11-22,Gravel,65.0,5043.0
Carl,2021-11-23,Gravel,17.0,5043.0
Carl,2021-11-24,Gravel,97.0,5043.0
Carl,2021-11-25,Gravel,48.0,5043.0
Carl,2021-11-26,Gravel,61.0,5043.0
Carl,2021-11-27,Gravel,41.0,5043.0
Carl,2021-11-28,Gravel,79.0,5043.0
Carl,2021-11-29,Gravel,61.0,5043.0
Carl,2021-11-30,Gravel,46.0,5043.0
Ollie,2021-11-01,Gravel,6.0,4678.0
Ollie,2021-11-02,Gravel,50.0,4678.0
Ollie,2021-11-03,Gravel,87.0,4678.0
Ollie,2021-11-04,Gravel,62.0,4678.0
Ollie,2021-11-05,Gravel,59.0,4678.0
Ollie,2021-11-06,Gravel,16.0,4678.0
Ollie,2021-11-07,Gravel,44.0,4678.0
Ollie,2021-11-08,Gravel,14.0,4678.0
Ollie,2021-11-09,Gravel,13.0,4678.0
Ollie,2021-11-10,Gravel,98.0,4678.0
Ollie,2021-11-11,Gravel,95.0,4678.0
Ollie,2021-11-12,Gravel,17.0,4678.0
Ollie,2021-11-13,Gravel,96.0,4678.0
Ollie,2021-11-14,Gravel,7.0,4678.0
Ollie,2021-11-15,Gravel,55.0,4678.0
Ollie,2021-11-16,Gravel,12.0,4678.0
Ollie,2021-11-17,Gravel,99.0,4678.0
Ollie,2021-11-18,Gravel,96.0,4678.0
Ollie,2021-11-19,Gravel,48.0,4678.0
Ollie,2021-11-20,Gravel,78.0,4678.0
Ollie,2021-11-21,Gravel,48.0,4678.0
Ollie,2021-11-22,Gravel,49.0,4678.0
Ollie,2021-11-23,Gravel,80.0,4678.0
Ollie,2021-11-24,Gravel,81.0,4678.0
Ollie,2021-11-25,Gravel,57.0,4678.0
Ollie,2021-11-26,Gravel,90.0,4678.0
Ollie,2021-11-27,Gravel,65.0,4678.0
Ollie,2021-11-28,Gravel,95.0,4678.0
Ollie,2021-11-29,Gravel,63.0,4678.0
Ollie,2021-11-30,Gravel,50.0,4678.0
Lorna,2021-11-01,Gravel,55.0,4409.0
Lorna,2021-11-02,Gravel,64.0,4409.0
Lorna,2021-11-03,Gravel,26.0,4409.0
Lorna,2021-11-04,Gravel,6.0,4409.0
Lorna,2021-11-05,Gravel,2.0,4409.0
Lorna,2021-11-06,Gravel,25.0,4409.0
Lorna,2021-11-07,Gravel,83.0,4409.0
Lorna,2021-11-08,Gravel,98.0,4409.0
Lorna,2021-11-09,Gravel,65.0,4409.0
Lorna,2021-11-10,Gravel,20.0,4409.0
Lorna,2021-11-11,Gravel,50.0,4409.0
Lorna,2021-11-12,Gravel,85.0,4409.0
Lorna,2021-11-13,Gravel,27.0,4409.0
Lorna,2021-11-14,Gravel,64.0,4409.0
Lorna,2021-11-15,Gravel,73.0,4409.0
Lorna,2021-11-16,Gravel,12.0,4409.0
Lorna,2021-11-17,Gravel,0.0,4409.0
Lorna,2021-11-18,Gravel,46.0,4409.0
Lorna,2021-11-19,Gravel,56.0,4409.0
Lorna,2021-11-20,Gravel,91.0,4409.0
Lorna,2021-11-21,Gravel,41.0,4409.0
Lorna,2021-11-22,Gravel,51.0,4409.0
Lorna,2021-11-23,Gravel,91.0,4409.0
Lorna,2021-11-24,Gravel,94.0,4409.0
Lorna,2021-11-25,Gravel,29.0,4409.0
Lorna,2021-11-26,Gravel,82.0,4409.0
Lorna,2021-11-27,Gravel,2.0,4409.0
Lorna,2021-11-28,Gravel,45.0,4409.0
Lorna,2021-11-29,Gravel,68.0,4409.0
Lorna,2021-11-30,Gravel,16.0,4409.0
Jenny,2021-11-01,Gravel,6.0,4132.0
Jenny,2021-11-02,Gravel,5.0,4132.0
Jenny,2021-11-03,Gravel,38.0,4132.0
Jenny,2021-11-04,Gravel,92.0,4132.0
Jenny,2021-11-05,Gravel,26.0,4132.0
Jenny,2021-11-06,Gravel,18.0,4132.0
Jenny,2021-11-07,Gravel,80.0,4132.0
Jenny,2021-11-08,Gravel,80.0,4132.0
Jenny,2021-11-09,Gravel,42.0,4132.0
Jenny,2021-11-10,Gravel,55.0,4132.0
Jenny,2021-11-11,Gravel,8.0,4132.0
Jenny,2021-11-12,Gravel,46.0,4132.0
Jenny,2021-11-13,Gravel,81.0,4132.0
Jenny,2021-11-14,Gravel,37.0,4132.0
Jenny,2021-11-15,Gravel,4.0,4132.0
Jenny,2021-11-16,Gravel,48.0,4132.0
Jenny,2021-11-17,Gravel,54.0,4132.0
Jenny,2021-11-18,Gravel,17.0,4132.0
